userName,score,at,content
Pengguna Google,1,2025-10-22 05:09:17,"Dua kali pesan, selalu dtg terlambat. yg skrg malah blm sampai. padahal pilih pengiriman paling pagi krn mmng lg butuh sekali. tdk ada konfirmasi juga dari kurir atau karyawan lain kalau ada kendala dalam pengantaran. buruk sekali, nda lagi lagi pakai aplikasi ini"
Pengguna Google,2,2025-10-19 05:57:05,"waktu saya lacak pesanan saya, tertulis diserahkan ke grab (mungkin karna pesanan lagi banyak), saya tunggu lama sekali (4 jam) ternyata dicancel pihak grab. pesanan saya masih di indomaretnya (belum diambil pihak grab), tapi kok bisa pihak indomaretnya nggak menghubungi grabnya atau anter sendiri padahal udah selama itu. terus ga ada fitur chat dengan driver/pengantar pesanan. jadi waktu itu terpaksa saya datengin indomaret terdekat, baru pesanan saya diantar (dari indomaret lain)"
Pengguna Google,1,2025-10-26 14:15:32,"mengecewakan sih, barang sudah 2 hari status selesai diproses saja, sudah komplain masih juga digantung pesanan status kurir sudah tiba, sudah 3 jam belum dikirim juga, kurang sabar apalagi, kalo belum sanggup bikin aplikasi jangan dipaksakan apalagi sampai pakai claim 1 jam sampai."
Pengguna Google,5,2025-10-20 21:12:40,"Selama pake aplikasi ini oke oke saja. kurirnya ramah . Kalau belum bisa antar atau ada kendala suka , atau produk kosong suka japri. sangat membantu saya untuk berhemat waktu ,dan mengurangi belanja implusif. sekarang setelah di-update jadi bisa tebus murah lagi. semoga nanti poin Indomaret ikupon nya bisa di pake lewat aplikasi ga harus ke toko. karena kadang kalo ke toko ada aja yg ga bisa nya Tukar i kupon"
Pengguna Google,5,2025-10-23 15:04:47,"Review jujur dari aku! ini aplikasi sangat bermanfaat & memnantu, ringan juga di instal gak makan ruang penyimpanan besar. Semakin mudah dan cepat berbelanja secara daring, beragamnya pilihan promo & diskon, opsi pembayaran yang fleksibel, bahkan ada layanan ""Ambil di Toko"" untuk menghindari antrean. Aplikasi ini juga menawarkan fitur ""Belanja Xtra"" untuk kebutuhan dalam jumlah besar, pengiriman yang luas, dan keuntungan bagi anggota Poinku seperti tukar poin dengan voucher atau produk gratissss"
Pengguna Google,1,2025-10-27 11:33:04,"Ribet woy pake ada klik lebih hemat segala didalam klik pesanan, harusnya langsung dibikin diskon aja kyk apk lain asal udh sesuai . rugi lah jadinya Saya, niat mau hemat makanya belanja di klik indomaret malah zonk , udh paling bener belanja di apk alfagit tiap bulan lebih hemat gk ribet jg buat dapet diskon otomatis"
Pengguna Google,1,2025-10-23 10:23:05,aplikasi sudah di update tapi kenapa masih tidak bisa di pakai?dan kalau ada pesanan yang diantar grab seenggaknya ada pemberitahuan dan di sesuaikan waktunya pilihan 1jam bisa sampai 3jam baru datang barangnya
Pengguna Google,1,2025-10-18 02:28:56,"Tolong ditambahkan fitur penilaian untuk kurirnya, juga fitur kalau paketnya sudah sampai tapi kami belum terima paketnya kami bisa klik belum terima. Dan kalau paketnya hilang kami bisa klaim ganti kerugian."
Pengguna Google,3,2025-10-26 11:49:19,"klik indomart apa gak mau perbaiki aplikasinya yg terlalu lemot di banding dengan aplikasi lainya, trus fitur terbaru terlalu ribet ada fitur pencarian di luar jaringan yg bukanya membantu tapi justru membuat ribet menghalangi pencarian yg selalu muncul. untuk produk sdh sangat baik juga lengkap dan harga bersaing"
Pengguna Google,1,2025-09-12 22:28:45,"Udah 2x belanja di klik, duit kembaliannya ga dibalikin. Yg pertama karna barang yg diorder ga ada lalu diganti barang lain dgn harga lebih murah, tapi duit kembalian ga dibalikin. Yg kedua, bayar pake COD dan kurir ga bawa uang receh. Bilangnya kembaliannya nanti diantar, tapi ga diantar"". Tolong sediakan opsi berapa nominal uang pembeli saat pake COD kyk di aplikasi sebelah. Biar kurir bawa duit kembalian. Mau chat tokonya juga ga bisa. Ini bukan masalah nominal, tapi kepercayaan pelanggan."
Pengguna Google,5,2025-10-22 16:07:11,"Aplikasi Klik Indomaret sangat membantu untuk belanja kebutuhan harian tanpa harus keluar rumah. Produknya lengkap, harga bersaing, dan pengiriman cepat. Fitur pencarian dan kategori juga memudahkan cari barang. Cocok banget buat yang sibuk atau tinggal jauh dari toko. Sukses terus Indomaret!"
Pengguna Google,1,2025-10-22 03:08:20,"Tolong diperbaiki lagi app nya. Untuk hp lawas tidak berfungsi. Karena ada tata letak app yang tidak kelihatan (yang ada di bawah). Seharus nya buat hp lawas bisa discroll ke bawah.. Kalau ini tidak bisa (jadi bagian bawahnya dipotong). Padahal di bagian bawah ada banyak tombol penting spt untuk login, selesaikan pesanan, dsb"
Pengguna Google,1,2025-10-06 14:21:43,"Barang sudah dibayar tapi ada item yg tidak dikirim, komplain melalui aplikasi langsung dianggap solusi sdh selesai. padahal tdk ada pengembalian uang,tdk ada penggantinya barang apapun. solusi selesai dari sisi mana??? komplain kedua mll WA kurir yg mengantar hanya disampaikan akan dikonfirmasi ke toko. tapi tdk ada FU lebih lanjut. Stock barang lebih di toko, selanjutnya jdi milik siapa???"
Pengguna Google,1,2025-10-18 06:14:13,"jangan bikin motto gratis ongkir 1 jam sampai, faktanya gak sesuai, saya co dari jam 11 sampai setengah 2 belom di anter dengan alasan jauh, kerjaan banyak, seharusnya di bedakan donk kurir ongkir dan kasir, yang lebih parahnya lagi sabotaseee, barang belom di terima tapi di status aplikasi sudah di terima"
Pengguna Google,1,2025-10-19 07:04:39,"Ada apa dengan aplikasinya? Udah beberapa hari ini ga bisa dipakai sama sekali. Tulisannya ""Gagal Mengambil Live Shopping"" aja terus. Kok semakin parah dan tidak ada perbaikan lagi ya dari aplikasinya. Malah sekarang aplikasi si Merah lebih baik dan tanpa kendala. Saya pengguna Klik sejak lama tapi performanya mulai awal bulan ini sangat mengecewakan. Udah ga usah ikut2an live shopping ala marketplace lainnya. Dengan sistem yang minimalis dan simpel orang bakal lebih suka dan seneng."
Pengguna Google,1,2025-10-28 15:38:17,"utk item buy 2 get 1, di aplikasi bs di klik, giliran dianter cm 2barang, alasannya habis stok utk item yg gratis, uang jg ga dibalikin krn item gratis. ga bs dicancel katanya. ini namanya maksain org beli 2, pdhl sy tertarik krn ada item free eh diembat haha... ini kejadian dah sering, jdi males."
Pengguna Google,1,2025-09-23 05:12:33,"Pesanan yang datang tidak sesuai, beberapa kali ajukan komplain, tapi tidak juga mendapat penggantian. Akhirnya pesanan dianggap selesai di aplikasi dan tidak bisa lagi ajukan komplain melalui aplikasi. Ongkir yang ditulis gratis pun ternyata ditagihkan melalui aplikasi grab. komplain via WA Indomaret juga tidak ada hasilnya. sangat mengecewakan."
Pengguna Google,1,2025-10-22 14:14:29,"udah berkali² pesanan telat parah. percuma pake pengiriman instan juga tetep gk jelas kapan sampenya. gk bisa dibatalin juga, lah mau makan jam berapa kalo gk jelas kyk gini. komplain juga gk ada respon."
Pengguna Google,3,2025-10-19 01:25:29,"aga kecewa si pake aplikasi klik indomaret,gak ada menu chat sama toko,jadi gak bisa nanya,kalo emang stok barang kosong seharusnya pas masukin barang ke produk ada notifnya kaya alfagift,terus kenapa tiba tiba produk yang kosong di batalin?,seharusnya pihak toko konfirmasi sama pelanggan,mau di ganti sama produk lain yang sesuai dengan harganya,apa gimana,ini gak ada konfirmasinya tiba tiba stok yang kosong langsung di batalin"
Pengguna Google,1,2025-10-19 01:48:41,"tong dong indomaret karyawanya suruh lebih teliti lagi kalo masukin barang, udah dua kali saya pesen ada barang yang kurang, awalnya saya toleransi karna yang pertama barangnya kecil, mungkin kelupaan, tapi yang kedua barangnya gede masa iya lupa gak dimasukin lagi, karyawannya suruh double check sampe semua barang bener-bener masuk, kalo gini terus ya saya juga rugi dong"
Pengguna Google,1,2025-10-04 02:27:13,"udah beberapa kali order tp driver selalu telat pengirimannya dengan alasan motor rusak/mogok (alasan ini hampir setiap saat saya order). Terakhir order minta di batalkan ke driver tp saldo ngga balik 🥲, seharusnya ada opsi pembatalan dari customer juga. ngga worth it untuk di gunakan"
